product parent,category 1,category 2,name,base,barcode,cost_price,sale_price,manufacturer_srp,weight,manufacturer,supplier,store_sku,manufacturer_sku,supplier_sku,short_description,long_description,image_url,sub_image_url,meta_title,meta_desc,quantity,Color,Storage,Size,Zoom,Aperture,Pixel
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi 64GB - Space Grey,Apple iPad Air,,,,"5,488.00",,Apple Asia Ltd,,102-APPIPA-MD787ZP/A,MD787ZP/A,,Apple iPad Air Wi-Fi 64GB - Space Grey,,,,,,,Space Grey,64GB,,,,
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi 16GB - Silver,Apple iPad Air,,,,"3,888.00",,Apple Asia Ltd,,102-APPIPA-MD788ZP/A,MD788ZP/A,,Apple iPad Air Wi-Fi 16GB - Silver,,,,,,,Silver,16GB,,,,
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi 32GB - Silver,Apple iPad Air,,,,"4,688.00",,Apple Asia Ltd,,102-APPIPA-MD789ZP/A,MD789ZP/A,,Apple iPad Air Wi-Fi 32GB - Silver,,,,,,,Silver,32GB,,,,
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi 64GB - Silver,Apple iPad Air,,,,"5,488.00",,Apple Asia Ltd,,102-APPIPA-MD790ZP/A,MD790ZP/A,,Apple iPad Air Wi-Fi 64GB - Silver,,,,,,,Silver,64GB,,,,
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi+Cellular 16GB - Space Gre,Apple iPad Air,,,,"4,888.00",,Apple Asia Ltd,,102-APPIPA-MD791ZP/A,MD791ZP/A,,Apple iPad Air Wi-Fi+Cellular 16GB - Space Gre,,,,,,,Space Grey,16GB,,,,
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi+Cellular 32GB - Space Gre,Apple iPad Air,,,,"5,688.00",,Apple Asia Ltd,,102-APPIPA-MD792ZP/A,MD792ZP/A,,Apple iPad Air Wi-Fi+Cellular 32GB - Space Gre,,,,,,,Space Grey,32GB,,,,
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi+Cellular 64GB - Space Gre,Apple iPad Air,,,,"6,488.00",,Apple Asia Ltd,,102-APPIPA-MD793ZP/A,MD793ZP/A,,Apple iPad Air Wi-Fi+Cellular 64GB - Space Gre,,,,,,,Space Grey,64GB,,,,
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi+Cellular 16GB - Silver,Apple iPad Air,,,,"4,888.00",,Apple Asia Ltd,,102-APPIPA-MD794ZP/A,MD794ZP/A,,Apple iPad Air Wi-Fi+Cellular 16GB - Silver,,,,,,,Silver,16GB,,,,
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi+Cellular 32GB - Silver,Apple iPad Air,,,,"5,688.00",,Apple Asia Ltd,,102-APPIPA-MD795ZP/A,MD795ZP/A,,Apple iPad Air Wi-Fi+Cellular 32GB - Silver,,,,,,,Silver,32GB,,,,
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi+Cellular 64GB - Silver,Apple iPad Air,,,,"6,488.00",,Apple Asia Ltd,,102-APPIPA-MD796ZP/A,MD796ZP/A,,Apple iPad Air Wi-Fi+Cellular 64GB - Silver,,,,,,,Silver,64GB,,,,
