Item   Code,Item Name,Item BarCode,Unit,Item Type,Qty On Hand,Qty On Ord,Price Sales,Serial No Ctrl,Anly Code1,Anly Code2,Anly Code3,Anly Code4,Anly Code5,Anly Code6,Anly Code7,Anly Code8,,Anly Code9
3018-M04,Mondrian iPhone Stand Case YL/RD+GN/WH,8809347200041,PCS,S,4,0,199,N,Third-Party,Third-Party Accessory,Accessory,CASE,ACTION GROUP LIMITED,MONDRIAN,M-04,YELLOW,,
3018-M03,Mondrian iPhone Stand Case BL/GN+WH/YL,8809347200034,PCS,S,3,0,199,N,Third-Party,Third-Party Accessory,Accessory,CASE,ACTION GROUP LIMITED,MONDRIAN,M-03,BLUE,,
3018-M02,Mondrian iPhone Stand Case GN/BK+YL/RD,8809347200027,PCS,S,3,0,199,N,Third-Party,Third-Party Accessory,Accessory,CASE,ACTION GROUP LIMITED,MONDRIAN,M-02,GN,,
3018-M01,Mondrian iPhone Stand Case RD/WH+YL/BL,8809347200010,PCS,S,0,,199,N,Third-Party,Third-Party Accessory,Accessory,CASE,ACTION GROUP LIMITED,MONDRIAN,M-01,RED,,
3018-LUX29O,LUXA2 LHA0036-H iPad 2 Tough Case - Oran,0305905900302,PCS,S,0,,210,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX29O,Orange,,
3018-LUX29B,LUXA2 LHA0036-F iPad 2 Tough Case - Blue,0305905900289,PCS,S,0,,210,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX29B,Blue,,
3018-LUX27W,LUXA2 LHA0037 iPad 2 White Candy Case,0305905900258,PCS,S,0,,240,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX27W,White,,
3018-LUX27R,LUXA2 LHA0037 iPad 2 Red Candy Case,0305905900241,PCS,S,0,,240,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX27R,Red,,
3018-LUX27,LUXA2 LHA0037 iPad 2 Black Candy Case,0305905900234,PCS,S,0,,240,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX27,Black,,
3018-LUX26W,LUXA2 LHA0036 iPad 2 White Touch Case,0305905900173,PCS,S,0,,320,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX26W,White,,
3018-LUX26B,LUXA2 LHA0036 iPad 2 Blue Touch Case,0305905900210,PCS,S,0,,320,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX26B,Blue,,
3018-LUX26,LUXA2 LHA0036 iPad 2 Black Touch Case,0305905900166,PCS,S,0,,320,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX26,Black,,
3018-LUX25BN,LUXA2 LHA0035-A iPad Brown Leather Stand,0305905900197,PCS,S,0,,550,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX25BN,Brown,,
3018-LUX25,LUXA2 LHA0035 PA4 iPad Black Leather Sta,0305905900180,PCS,S,0,,550,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX25,Black,,
3018-LUX23W,LUXA2 LHA0019 PA4 iPad Leather Stand Cas,0305905900159,PCS,S,0,,330,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX23W,White,,
3018-LUX23P,LUXA2 LHA0019 PA4 iPad Leather Stand Cas,0305905900142,PCS,S,0,,330,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX23P,Pink,,
3018-LUX17W,LUXA2 LHA0012-B PA3 iPad Leather Folio C,0305905900104,PCS,S,0,,438,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX17W,White,,
3018-LUX16W,LUXA2 LHA0009 PA2 iPad Silicone Candy Ca,0305905900098,PCS,S,0,,99,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX16W,White,,
3018-LUX16PL,LUXA2 LHA0009 PA2 iPad Silicone Candy Ca,0305905900081,PCS,S,0,,99,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX16PL,Purple,,
3018-LUX16P,LUXA2 LHA0009 PA2 iPad Silicone Candy Ca,0305905900074,PCS,S,0,,99,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX16P,Pink,,
3018-LUX16G,LUXA2 LHA0009 PA2 iPad Silicone Candy Ca,0305905900067,PCS,S,0,,99,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX16G,Green,,
3018-LUX16B,LUXA2 LHA0009 PA2 iPad Silicone Candy Ca,0305905900050,PCS,S,0,,99,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX16B,Blue,,
3018-LUX16,LUXA2 LHA0009 PA2 iPad Silicone Candy Ca,0305905900043,PCS,S,0,,99,N,Third-Party,Third-Party Accessory,Third-Party,Case,Shooting Techologies Ltd,Lux,LUX16,Black,,
3018-LTP103,Lustro TruePassion Swarovski iPhone4S WH,4895128981036,PCS,S,7,,498,N,Third-Party,Third-Party Accessory,Third-Party,Case,Morgan Power Internationa,Moshi,LTP103,White,,
3018-LOE9873,Noe Two Graffiti iPhone4S Case - Rati,,PCS,S,0,0,399,N,Third-Party,Third-Party Accessory,Third-Party,Case,Street Value Limited,Noe Two,LOE-9873,Rati,,
3018-LOE9872,NoeTwo Graffiti iPhone4S Case-Barbarella,,PCS,S,0,0,399,N,Third-Party,Third-Party Accessory,Third-Party,Case,Street Value Limited,Noe Two,LOE-9872,Barbarella,,
3018-LOE9871,Noe Two Graffiti iPhone4S Case -WildGirl,,PCS,S,0,0,399,N,Third-Party,Third-Party Accessory,Third-Party,Case,Street Value Limited,Noe Two,LOE-9871,Wild Girl,,
3018-LOE9870,Noe Two Graffiti iPhone4S Case - Morphee,,PCS,S,0,,399,N,Third-Party,Third-Party Accessory,Third-Party,Case,Street Value Limited,Noe Two,LOE-9870,Morphee,,
3018-LF107,Lustro TruePassion Swarovski iPhone4S BK,,PCS,S,6,,498,N,Third-Party,Third-Party Accessory,Third-Party,Case,Morgan Power Internationa,Moshi,LTP107,Black,,
3018-LF106,Lustro Flora Swarovski iPhone4s Case BK,4895128981067,PCS,S,6,,498,N,Third-Party,Third-Party Accessory,Third-Party,Case,Morgan Power Internationa,Moshi,LF106,Black,,
3018-LF102,Lustro Flora Swarovski iPhone4s Case WH,4895128981029,PCS,S,2,,498,N,Third-Party,Third-Party Accessory,Third-Party,Case,Morgan Power Internationa,Moshi,LF102,White,,
3018-LE104,Lustro ZigZag Swarovski iPhone4S Case BK,4895128981043,PCS,S,6,,498,N,Third-Party,Third-Party Accessory,Third-Party,Case,Morgan Power Internationa,Moshi,LE104,Black,,
3018-LE100,Lustro ZigZag Swarovski iPhone4S Case WH,4895128981005,PCS,S,7,,498,N,Third-Party,Third-Party Accessory,Third-Party,Case,Morgan Power Internationa,Moshi,LE100,White,,
3018-LCUSIP2VR,Lioncase Ultra Slim iPad2 Case - RD,4897040770071,PCS,S,0,,328,N,Third-Party,Third-Party Accessory,Third-Party,Case,Next Exchange Technology,LIONCASE,LC-USIP2-VR,Red,,
3018-LCUSIP2OR,Lioncase Ultra Slim iPad2 Case - OR,4897040770088,PCS,S,0,,328,N,Third-Party,Third-Party Accessory,Third-Party,Case,Next Exchange Technology,LIONCASE,LC-USIP2-OR,Orange,,
3018-LCUSIP2GY,Lioncase Ultra Slim iPad2 Case - GY,4897040770064,PCS,S,0,,328,N,Third-Party,Third-Party Accessory,Third-Party,Case,Next Exchange Technology,LIONCASE,LC-USIP2-GY,Gray,,
3018-LCUSIP2BK,Lioncase Ultra Slim iPad2 Case - BK,4897040770057,PCS,S,2,,328,N,Third-Party,Third-Party Accessory,Third-Party,Case,Next Exchange Technology,LIONCASE,LC-USIP2-BK,Black,,
3018-LCULIP2WH,Lioncase UltraSlim Leather iPad2 Case WH,4897040770101,PCS,S,1,,328,N,Third-Party,Third-Party Accessory,Third-Party,Case,Next Exchange Technology,LIONCASE,LC-ULIP2-WH,White,,
3018-LCULIP2PR,Lioncase UltraSlim Leather iPad2 Case PU,4897040770118,PCS,S,0,,328,N,Third-Party,Third-Party Accessory,Third-Party,Case,Next Exchange Technology,LIONCASE,LC-ULIP2-PR,Purple,,
